id,question_text,question_code,form_type_id,answer_type_id,answer_field_id,answer_set_id,form_id,question_required,the_order,timestamp_created,timestamp_updated,is_void
676,Nature of counselling,Q1_nature,FMRD,,counselling_type_id,1,27,TRUE,1,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
677,Duration of Counselling Session,Q2_duration,FMTF,,,1,27,TRUE,2,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
678,Time fully utilized,Q3_time_utilized,FMRD,,yesno_id,1,27,TRUE,3,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
679,a.If Yes state the duration taken,Q4_time_duration,FMTF,,,1,27,TRUE,4,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
680,b.If not fully utilized give reasons,Q5_time_reasons,FMTA,,,1,27,TRUE,5,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
681,Counselling reason,Q6_reason,FMSL,,counselling_reason_id,1,27,TRUE,6,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
682,Identify reason:,Q7_identify_reason,FMTF,,,1,27,TRUE,7,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
683,General observation:,Q8_observation,FMTF,,,1,27,TRUE,8,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
684,a.Attendance,Q9_attendance,FMSL,,counselling_attendance_id,1,27,TRUE,9,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
685,Explain,Q10_attendace_explan,FMTA,,,1,27,TRUE,10,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
686,b.Appearance,Q11_appearance,FMSL,,,1,27,TRUE,11,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
687,Explain,Q12_appearance_other,FMTA,,,1,27,TRUE,12,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
688,c.Attitude,Q13_attitude,FMSL,,,1,27,TRUE,13,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
689,Explain,Q14_attitude_explan,FMTA,,,1,27,TRUE,14,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
690,Main presenting issues:,Q15_main_present_issue,FMCB,,counsel_main_issues_id,1,27,TRUE,15,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
691,Underlying issues:,Q16_underly_issue,FMCB,,counsel_underly_issues_id,1,27,TRUE,16,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
692,Others (specify),Q17_other,FMTA,,,1,27,TRUE,17,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
693,Name of the counselor:,Q18_counselor_name,FMTF,,,1,27,TRUE,18,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
694,Professional Qualification in counselling:,Q19_qualification,FMSL,,counsel_qualification_id,1,27,TRUE,19,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
695,Accrediting body:,Q20_accredit,FMTF,,,1,27,TRUE,20,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
696,Type of counselling services,Q21_type_service,FMCB,,counsel_services_id,1,27,TRUE,21,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
697,Counselling cost,Q22_cost,FMCB,,counsel_cost_id,1,27,TRUE,22,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
698,If paid state the amount:,Q23_amount,FMTF,,,1,27,TRUE,23,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
699,Name of organization:,Q24_organization,FMTF,,,1,27,TRUE,24,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
700,Counselor's remarks:,Q25_remarks,FMTA,,,1,27,TRUE,25,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
701,Referrals made,Q26_referral,FMRD,,yesno_id             ,1,27,TRUE,26,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
702,"Organization referred to:			",Q27_org_referral,FMTF,,,1,27,TRUE,27,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
703,Reason for Referral:,Q28_reason_referral,FMTA,,,1,27,TRUE,28,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
704,Managerâ€™s Name:,Q29_manager,FMTF,,,1,27,TRUE,29,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
705,Remarks:,Q30_remark,FMTA,,,1,27,TRUE,30,2023-08-17 18:35:14.016892+00:00,2023-08-17 18:35:14.016905+00:00,FALSE
